,customer_id,region,customer_segment,discount_sensitivity,frequency,recency_days,tenure_days,monetary,avg_spend,churn_flag,clv_proxy,sensitivity_score,norm_clv,norm_freq,norm_recency,norm_sensitivity,freq_segment,longevity_score,fomo_score,longevity_segment,longevity_segment3,longevity_segment2,fomo_segment,discount_level,spend_level,promo_behavior,promo_segment_name
0,C00001,Central,High Activity,Low,8,158,389,9235.3,1154.41,0,3996.13,3,0.0797677868421582,0.4666666666666667,0.5614525139664804,1.0,High Frq,0.4206928497334223,0.8593827377158733,High Longevity,High Longevity,Mid Longevity,High fomo,Low,Mid,Low_Mid,ไม่ต้องรีบทำ campaign
1,C00002,East,Mid Activity,Low,6,20,742,14275.56,2379.26,1,11782.5,3,0.25002820774545326,0.3333333333333333,0.946927374301676,1.0,High Frq,0.3806853435975078,0.8890158561562959,High Longevity,High Longevity,Mid Longevity,High fomo,Low,High,Low_High,ไม่ติดโปร มูลค่าออเดอร์สูง
2,C00003,South,Mid Activity,Low,5,7,297,5947.43,1189.49,0,1964.84,3,0.03535064632910086,0.26666666666666666,0.9832402234636871,1.0,High Frq,0.2928988071056712,0.8660304091394279,Mid Longevity,Mid Longevity,Low Longevity,High fomo,Low,Mid,Low_Mid,ไม่ต้องรีบทำ campaign
3,C00004,South,Low Activity,Low,4,249,892,6167.41,1541.85,1,6119.38,3,0.12619576787605735,0.2,0.30726256983240224,1.0,Low Frq,0.2306022820668316,0.8379827052792259,Low Longevity,Low Longevity,Low Longevity,High fomo,Low,High,Low_High,ไม่ติดโปร มูลค่าออเดอร์สูง
4,C00005,North,High Activity,Low,8,120,556,10749.66,1343.71,0,6648.3,3,0.13776138084129927,0.4666666666666667,0.6675977653631285,1.0,High Frq,0.4375988311030829,0.8704893596856198,High Longevity,High Longevity,Mid Longevity,High fomo,Low,Mid,Low_Mid,ไม่ต้องรีบทำ campaign
5,C00006,North,Mid Activity,Low,5,26,730,4569.38,913.88,1,3710.41,3,0.0735200992212913,0.26666666666666666,0.9301675977653632,1.0,High Frq,0.2978790663991931,0.8671937231437307,Mid Longevity,Mid Longevity,Low Longevity,High fomo,Low,Low,Low_Low,ไม่ติดโปร มูลค่าออเดอร์ต่ำ
6,C00007,North,Mid Activity,Low,5,24,719,4280.08,856.02,0,3423.13,3,0.0672382999082483,0.26666666666666666,0.9357541899441341,1.0,High Frq,0.296902036145523,0.8668448728213649,Mid Longevity,Mid Longevity,Low Longevity,High fomo,Low,Low,Low_Low,ไม่ติดโปร มูลค่าออเดอร์ต่ำ
7,C00008,East,Mid Activity,Low,6,94,263,8983.44,1497.24,0,2628.08,3,0.0498533634565815,0.3333333333333333,0.7402234636871509,1.0,High Frq,0.33031517920900716,0.8586631761966824,Mid Longevity,Mid Longevity,Mid Longevity,High fomo,Low,Mid,Low_Mid,ไม่ต้องรีบทำ campaign
8,C00009,South,Low Activity,Low,4,2,633,3412.4,853.1,1,2402.72,3,0.04492553592529714,0.2,0.9972067039106145,1.0,Low Frq,0.24884544238059014,0.8643528887880605,Low Longevity,Low Longevity,Low Longevity,High fomo,Low,Low,Low_Low,ไม่ติดโปร มูลค่าออเดอร์ต่ำ
9,C00010,South,Mid Activity,High,6,14,846,12308.29,2051.38,0,11582.65,1,0.24565819384712537,0.3333333333333333,0.9636871508379888,0.0,High Frq,0.3306493296446578,0.08941684359327864,Mid Longevity,Mid Longevity,Mid Longevity,Low fomo,High,High,High_High,ติดโปร มูลค่าออเดอร์สูง
