"customer_id","region","customer_segment","discount_sensitivity","frequency","recency_days","tenure_days","monetary","avg_spend","churn_flag","clv_proxy"
C00001,Central,High Activity,Low,8,158,389,9235.3,1154.41,0,3996.13
C00002,East,Mid Activity,Low,6,20,742,14275.56,2379.26,1,11782.5
C00003,South,Mid Activity,Low,5,7,297,5947.43,1189.49,0,1964.84
C00004,South,Low Activity,Low,4,249,892,6167.41,1541.85,1,6119.38
C00005,North,High Activity,Low,8,120,556,10749.66,1343.71,0,6648.3
C00006,North,Mid Activity,Low,5,26,730,4569.38,913.88,1,3710.41
C00007,North,Mid Activity,Low,5,24,719,4280.08,856.02,0,3423.13
C00008,East,Mid Activity,Low,6,94,263,8983.44,1497.24,0,2628.08
C00009,South,Low Activity,Low,4,2,633,3412.4,853.1,1,2402.72
C00010,South,Mid Activity,High,6,14,846,12308.29,2051.38,0,11582.65
C00011,North,Mid Activity,Low,5,98,808,5340.56,1068.11,0,4799.96
C00012,East,High Activity,Low,7,7,693,12443.46,1777.64,0,9592.14
C00013,East,Mid Activity,Low,6,227,784,7758.37,1293.06,0,6765.91
C00014,North,Mid Activity,Low,6,109,857,6977.13,1162.86,0,6651.2
C00015,North,Low Activity,Low,3,63,566,3025.97,1008.66,1,1905.12
C00016,North,Mid Activity,Low,6,25,529,21450.29,3575.05,0,12622.03
C00017,Central,Low Activity,Low,4,22,475,1882.88,470.72,0,994.85
C00018,Central,Low Activity,Low,4,26,437,3763.96,940.99,1,1829.64
C00019,Central,Mid Activity,Low,6,164,260,6161.85,1026.98,0,1782.08
C00020,Central,Mid Activity,Low,5,16,447,3962.43,792.49,0,1970.21
C00021,South,Low Activity,High,4,44,598,7509.49,1877.37,0,4995.18
C00022,North,Mid Activity,Low,5,144,414,9371.04,1874.21,0,4315.48
C00023,Central,Low Activity,Low,3,6,490,2983.99,994.66,0,1626.42
C00024,Central,High Activity,High,7,135,536,11064.35,1580.62,0,6596.76
C00025,Central,High Activity,Low,8,11,392,22223.32,2777.92,0,9690.27
C00026,South,Low Activity,High,4,339,753,6787.34,1696.83,1,5685.04
C00027,North,Mid Activity,Low,6,11,228,53570.0,1785.67,0,2717.24
C00028,Central,Mid Activity,High,5,285,306,6647.41,1329.48,0,2262.63
C00029,South,High Activity,Low,7,26,402,17711.81,2530.26,0,7920.08
C00030,North,High Activity,Low,7,112,458,11024.15,1574.88,0,5616.31
C00031,South,Low Activity,Low,3,27,587,18682.35,1245.49,0,2439.72
C00032,North,Low Activity,Low,3,51,684,2751.68,917.23,1,2093.61
C00033,North,Mid Activity,Low,6,56,473,5825.96,970.99,0,3065.26
